,ObservationID,ObservationTime,ObservationTimeApproximate,Troop,Observer,ObservationType,UTMNorthing,UTMEasting,LocationApproximate,LocationDescription,Notes,ST,STUncertain,SM,SMUncertain,SF,SFUncertain,SU,SUUncertain,SA,SAUncertain,SAM,SAMUncertain,SAF,SAFUncertain,SAFP,SAFPUncertain,SAFL,SAFLUncertain,SAFEN,SAFENUncertain,SAU,SAUUncertain,SS,SSUncertain,SSM,SSMUncertain,SSF,SSFUncertain,SSU,SSUUncertain,SJ,SJUncertain,SJM,SJMUncertain,SJF,SJFUncertain,SJU,SJUUncertain,IT,ITUncertain,IM,IMUncertain,IF,IFUncertain,IU,IUUncertain,IA,IAUncertain,IAM,IAMUncertain,IAF,IAFUncertain,IAFP,IAFPUncertain,IAFL,IAFLUncertain,IAFEN,IAFENUncertain,IAU,IAUUncertain,IS,ISUncertain,ISM,ISMUncertain,ISF,ISFUncertain,ISU,ISUUncertain,IJ,IJUncertain,IJM,IJMUncertain,IJF,IJFUncertain,IJU,IJUUncertain,T,A,S,J,TimeSinceLast,TDiff,ObsYear,ObsMonth
4478,hip0907101230,2009-07-10 12:30:00,0.0,HIP,Pete Laver,Foraging,8026471.0,298251.0,0.0,,,29.0,0.0,12.0,,,,,,22.0,1.0,12.0,1.0,,,,,,,,,,,7.0,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,22.0,7.0,,29 days 00:00:00.000000000,6.0,2009.0,7.0
4613,mow0907140940,2009-07-14 09:40:00,0.0,MOW,Pete Laver,Foraging,8032932.0,304904.0,0.0,scrap heap east of trash site,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,4 days 00:00:00.000000000,1.0,2009.0,7.0
4683,trs0907141345,2009-07-14 13:45:00,0.0,TRS,Pete Laver,Foraging,8032552.0,307190.0,0.0,lodge front gate - where vehicles are parked,according to Bonnie; troop total = 9.  half of clinical data from Bonnie.,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,12 days 00:00:00.000000000,2.0,2009.0,7.0
4705,cch0907141510,2009-07-14 15:10:00,0.0,CCH,Pete Laver,Forage/Rest,8027907.0,302583.0,0.0,behind pizza oven.,,20.0,1.0,4.0,,3.0,,13.0,,15.0,1.0,4.0,1.0,3.0,1.0,,,,,,,8.0,1.0,5.0,1.0,,,,,5.0,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,15.0,5.0,,27 days 00:00:00.000000000,-10.0,2009.0,7.0
4713,cgl0907141640,2009-07-14 16:40:00,0.0,CGL,Pete Laver,Foraging,8026317.0,296127.0,0.0,at fountain pond,,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,7 days 00:00:00.000000000,19.0,2009.0,7.0
4744,csl0907151130,2009-07-15 11:30:00,0.0,CSL,Sarah Yopp,Resting,8030162.0,303615.0,0.0,at old sava's den,,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,6 days 00:00:00.000000000,12.0,2009.0,7.0
4798,trs0907161000,2009-07-16 10:00:00,0.0,TRS,Pete Laver,Forage/Rest,8032476.0,307352.0,0.0,termite mound east of new building,,8.0,0.0,,,,,,,2.0,1.0,,,,,,,,,,,,,3.0,1.0,,,,,,,3.0,,,,,,,,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,3.0,3.0,2 days 00:00:00.000000000,1.0,2009.0,7.0
5248,trs0907220935,2009-07-22 09:35:00,0.0,TRS,Pete Laver,Foraging,8032722.0,307220.0,0.0,betw Koos' house and river.,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,6 days 00:00:00.000000000,-5.0,2009.0,7.0
5250,mow0907221000,2009-07-22 10:00:00,0.0,MOW,Pete Laver,Moving,8032829.0,306108.0,0.0,crossing road between river and new construction,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,8 days 00:00:00.000000000,0.0,2009.0,7.0
5255,csl0907221030,2009-07-22 10:30:00,0.0,CSL,Pete Laver,Resting,8032934.0,304767.0,0.0,,,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,7 days 00:00:00.000000000,-3.0,2009.0,7.0
5516,kub0907271030,2009-07-27 10:30:00,0.0,KUB,Pete Laver,Moving,8031486.0,312003.0,0.0,,troop approached me -only saw me when v close; none vocalised; just approached; then moved away.,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,18 days 00:00:00.000000000,-10.0,2009.0,7.0
5564,cgl0907280730,2009-07-28 07:30:00,0.0,CGL,Pete Laver,Forage/Rest,8026424.0,296182.0,0.0,below viewing deck,foraging and sunning,67.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,14 days 00:00:00.000000000,33.0,2009.0,7.0
5582,cch0907280928,2009-07-28 09:28:00,0.0,CCH,Pete Laver,Foraging,8027905.0,302073.0,0.0,,,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,14 days 00:00:00.000000000,16.0,2009.0,7.0
5594,csl0907281110,2009-07-28 11:10:00,0.0,CSL,Pete Laver,Sunning,8032878.0,304732.0,0.0,at putative den  rock feature at pool MOW,many animals with diarrhoea,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,6 days 00:00:00.000000000,-8.0,2009.0,7.0
5676,trs0907281705,2009-07-28 17:05:00,0.0,TRS,Pete Laver,Foraging,8032601.0,307296.0,0.0,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,6 days 00:00:00.000000000,4.0,2009.0,7.0
5687,cgl0907290749,2009-07-29 07:49:00,0.0,CGL,Pete Laver,Denning,8026409.0,296142.0,0.0,cement path towards boma,,69.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,1 days 00:00:00.000000000,2.0,2009.0,7.0
5690,hip0907291030,2009-07-29 10:30:00,0.0,HIP,Pete Laver,Foraging,8026878.0,298848.0,0.0,,,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,19 days 00:00:00.000000000,0.0,2009.0,7.0
5921,csl0908110825,2009-08-11 08:25:00,0.0,CSL,Pete Laver,Foraging,8029743.0,303583.0,0.0,uphill from DWNP stores,,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,14 days 00:00:00.000000000,3.0,2009.0,8.0
5923,trs0908110930,2009-08-11 09:30:00,0.0,TRS,Pete Laver,Foraging,8032500.0,307606.0,0.0,scrap pile at Ken's house (seep area),,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,14 days 00:00:00.000000000,0.0,2009.0,8.0
5924,kub0908111020,2009-08-11 10:20:00,0.0,KUB,Pete Laver,Foraging,8031558.0,312140.0,0.0,,,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,15 days 00:00:00.000000000,9.0,2009.0,8.0
5967,cgl0908131543,2009-08-13 15:43:00,0.0,CGL,Pete Laver,Foraging,8026191.0,296134.0,0.0,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,15 days 00:00:00.000000000,-57.0,2009.0,8.0
5968,cgl0908131610,2009-08-13 16:10:00,0.0,CGL,Pete Laver,Foraging,8026160.0,296137.0,0.0,,,59.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,0 days 00:00:00.000000000,47.0,2009.0,8.0
5988,kub0908171055,2009-08-17 10:55:00,0.0,KUB,Pete Laver,Foraging,8031544.0,312081.0,0.0,,Grant Nel saw thin sub adult on Thurs / Fri last week.,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,6 days 00:00:00.000000000,-15.0,2009.0,8.0
6003,cgl0908181110,2009-08-18 11:10:00,0.0,CGL,Pete Laver,Moving,8026238.0,296057.0,0.0,,NB - no signal at lodge 10-11am; possible signal south of lodge across park road.,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,5 days 00:00:00.000000000,-33.0,2009.0,8.0
6005,cgl0908181140,2009-08-18 11:40:00,0.0,CGL,Pete Laver,Forage/Rest,8026419.0,296165.0,0.0,,,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,0 days 00:00:00.000000000,-9.0,2009.0,8.0
6006,hip0908181231,2009-08-18 12:31:00,0.0,HIP,Pete Laver,Foraging,8027054.0,299399.0,0.0,,,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,20 days 00:00:00.000000000,-15.0,2009.0,8.0
6060,kub0908190946,2009-08-19 09:46:00,0.0,KUB,Pete Laver,Foraging,8031504.0,312125.0,0.0,,animal alarm calling is the RC,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,2 days 00:00:00.000000000,16.0,2009.0,8.0
6072,trs0908191020,2009-08-19 10:20:00,0.0,TRS,Pete Laver,Foraging,8032557.0,307335.0,0.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,8 days 00:00:00.000000000,0.0,2009.0,8.0
6091,mow0908191115,2009-08-19 11:15:00,0.0,MOW,Pete Laver,Foraging,8032793.0,306331.0,0.0,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,28 days 00:00:00.000000000,-1.0,2009.0,8.0
6096,csl0908191145,2009-08-19 11:45:00,0.0,CSL,Pete Laver,Foraging,8032016.0,304693.0,0.0,,signal at 825m - omni and yagi (across golf course),27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,8 days 00:00:00.000000000,4.0,2009.0,8.0
6184,trs0908200855,2009-08-20 08:55:00,0.0,TRS,Pete Laver,Sunning,8032601.0,307290.0,0.0,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,1 days 00:00:00.000000000,-3.0,2009.0,8.0
6190,mow0908200912,2009-08-20 09:12:00,0.0,MOW,Pete Laver,Moving,8032692.0,306503.0,0.0,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1 days 00:00:00.000000000,0.0,2009.0,8.0
6242,cch0908201235,2009-08-20 12:35:00,0.0,CCH,Pete Laver,Resting,8027860.0,301838.0,0.0,,,35.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,23 days 00:00:00.000000000,-1.0,2009.0,8.0
6277,cch0908201617,2009-08-20 16:17:00,0.0,CCH,Pete Laver,Foraging,8027893.0,302639.0,0.0,,,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,0 days 00:00:00.000000000,-10.0,2009.0,8.0
6352,kub0908241512,2009-08-24 15:12:00,0.0,KUB,Pete Laver,Foraging,8031508.0,312131.0,0.0,,,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,5 days 00:00:00.000000000,-6.0,2009.0,8.0
6549,mow0908310910,2009-08-31 09:10:00,0.0,MOW,Pete Laver,Foraging,8032711.0,306181.0,0.0,chobe district council yard,,6.0,0.0,,,,,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,11 days 00:00:00.000000000,0.0,2009.0,8.0
6892,mow0909020936,2009-09-02 09:36:00,0.0,MOW,Pete Laver,Sunning,8032640.0,306043.0,0.0,rocks near Savanna bar,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,2 days 00:00:00.000000000,-1.0,2009.0,9.0
6903,mow0909021017,2009-09-02 10:17:00,0.0,MOW,Pete Laver,Foraging,8032641.0,306043.0,0.0,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,0 days 00:00:00.000000000,1.0,2009.0,9.0
6906,trs0909021054,2009-09-02 10:54:00,0.0,TRS,Pete Laver,Resting,8032638.0,307297.0,0.0,thatch den at workshop,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,13 days 00:00:00.000000000,-2.0,2009.0,9.0
6999,trs0909021635,2009-09-02 16:35:00,0.0,TRS,Pete Laver,Resting,8032638.0,307297.0,0.0,at thatch den at workshop,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0 days 00:00:00.000000000,0.0,2009.0,9.0
7027,kub0909031443,2009-09-03 14:43:00,0.0,KUB,Pete Laver,Foraging,8031609.0,312203.0,0.0,midday rest site at FD below Sharon & Grant,foraging and resting,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,10 days 00:00:00.000000000,4.0,2009.0,9.0
7053,hip0909041038,2009-09-04 10:38:00,0.0,HIP,Pete Laver,Foraging,8026437.0,298198.0,0.0,,core group was only spread 15m - moved very quickly as they traverse the sand between combretum/capparis and other capparis. GOOD PHOTOS for sexing whole troop and clinical observations - body.,28.0,0.0,6.0,,0.0,,22.0,,28.0,0.0,6.0,1.0,,,,,,,,,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,17 days 00:00:00.000000000,14.0,2009.0,9.0
7054,cgl0909041140,2009-09-04 11:40:00,0.0,CGL,Pete Laver,Moving,8026007.0,296044.0,0.0,road south of CGL from southerly direction,group spread is 3 min,40.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,17 days 00:00:00.000000000,23.0,2009.0,9.0
7056,kub0909041432,2009-09-04 14:32:00,0.0,KUB,Pete Laver,Foraging,8031462.0,312160.0,0.0,,,18.0,0.0,5.0,1.0,2.0,1.0,11.0,1.0,10.0,0.0,4.0,1.0,2.0,1.0,,,,,,,4.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,5.0,,0.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,10.0,3.0,5.0,1 days 00:00:00.000000000,0.0,2009.0,9.0
7081,trs0909071509,2009-09-07 15:09:00,0.0,TRS,Cornelia Rautenbach,Foraging,8032639.0,306288.0,0.0,chobezi yard,,7.0,0.0,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,5 days 00:00:00.000000000,4.0,2009.0,9.0
7083,kub0909071559,2009-09-07 15:59:00,0.0,KUB,Pete Laver,Foraging,8031575.0,312101.0,0.0,restaurant deck,n = 2  RC possibly still in den.,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3 days 00:00:00.000000000,-16.0,2009.0,9.0
7275,kub0909111132,2009-09-11 11:32:00,0.0,KUB,Pete Laver,Foraging,8031506.0,312103.0,0.0,at trash site,foraging and resting,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,4 days 00:00:00.000000000,12.0,2009.0,9.0
7277,csl0909111205,2009-09-11 12:05:00,0.0,CSL,Trainee CSL youth,Moving,8030270.0,303558.0,0.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,23 days 00:00:00.000000000,-19.0,2009.0,9.0
7280,cgl0909111552,2009-09-11 15:52:00,0.0,CGL,Pete Laver,Foraging,8026173.0,296122.0,0.0,,,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7 days 00:00:00.000000000,-20.0,2009.0,9.0
7283,csl0909131111,2009-09-13 11:11:00,0.0,CSL,Trainee CSL youth,Moving,8030272.0,303560.0,0.0,,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,2 days 00:00:00.000000000,1.0,2009.0,9.0
7284,csl0909131130,2009-09-13 11:30:00,0.0,CSL,Trainee CSL youth,Foraging,8030270.0,303510.0,0.0,,,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,0 days 00:00:00.000000000,12.0,2009.0,9.0
7285,csl0909131350,2009-09-13 13:50:00,0.0,CSL,Trainee CSL youth,Active,8030062.0,303508.0,0.0,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0 days 00:00:00.000000000,-17.0,2009.0,9.0
7308,csl0909141208,2009-09-14 12:08:00,0.0,CSL,Trainee CSL youth,Moving,8030261.0,303550.0,0.0,,,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,1 days 00:00:00.000000000,14.0,2009.0,9.0
7309,csl0909141245,2009-09-14 12:45:00,0.0,CSL,Trainee CSL youth,Moving,8030260.0,303574.0,0.0,,,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,0 days 00:00:00.000000000,-3.0,2009.0,9.0
7315,trs0909141617,2009-09-14 16:17:00,0.0,TRS,Pete Laver,Resting,8032947.0,306825.0,0.0,t mound at prison field,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,7 days 00:00:00.000000000,-3.0,2009.0,9.0
7320,mow0909141640,2009-09-14 16:40:00,0.0,MOW,Pete Laver,Denning,8032935.0,304847.0,0.0,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,12 days 00:00:00.000000000,0.0,2009.0,9.0
7348,cch0909151004,2009-09-15 10:04:00,0.0,CCH,Pete Laver,Foraging,8027905.0,302677.0,0.0,rubbish site,vhf signal on GPS v. weak.,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,26 days 00:00:00.000000000,2.0,2009.0,9.0
7351,cgl0909151200,2009-09-15 12:00:00,0.0,CGL,Pete Laver,Forage/Rest,8026181.0,296083.0,0.0,,VHF collar no longer working,48.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,4 days 00:00:00.000000000,28.0,2009.0,9.0
7352,csl0909151235,2009-09-15 12:35:00,0.0,CSL,Trainee CSL youth,Moving,8030253.0,303552.0,0.0,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,1 days 00:00:00.000000000,-10.0,2009.0,9.0
7353,csl0909151240,2009-09-15 12:40:00,0.0,CSL,Trainee CSL youth,Moving,8030263.0,303540.0,0.0,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,0 days 00:00:00.000000000,2.0,2009.0,9.0
7354,csl0909151243,2009-09-15 12:43:00,0.0,CSL,Trainee CSL youth,Moving,8030247.0,303563.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0 days 00:00:00.000000000,-4.0,2009.0,9.0
7355,csl0909151450,2009-09-15 14:50:00,0.0,CSL,Trainee CSL youth,Moving,8030236.0,303562.0,0.0,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,0 days 00:00:00.000000000,3.0,2009.0,9.0
7398,trs0909160900,2009-09-16 09:00:00,0.0,TRS,Pete Laver,Foraging,8032482.0,307356.0,0.0,,,5.0,1.0,2.0,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,,1.0,,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,7.0,,,,2 days 00:00:00.000000000,3.0,2009.0,9.0
7479,trs0909171323,2009-09-17 13:23:00,0.0,TRS,Pete Laver,Foraging,8032583.0,307321.0,0.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,1 days 00:00:00.000000000,1.0,2009.0,9.0
7480,csl0909171517,2009-09-17 15:17:00,0.0,CSL,Trainee CSL youth,Foraging,8030035.0,303402.0,0.0,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,2 days 00:00:00.000000000,4.0,2009.0,9.0
7481,csl0909171521,2009-09-17 15:21:00,0.0,CSL,Trainee CSL youth,Moving,8029992.0,303433.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0 days 00:00:00.000000000,-7.0,2009.0,9.0
7482,csl0909171531,2009-09-17 15:31:00,0.0,CSL,Trainee CSL youth,Moving,8029939.0,303437.0,0.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0 days 00:00:00.000000000,-1.0,2009.0,9.0
7483,csl0909171553,2009-09-17 15:53:00,0.0,CSL,Trainee CSL youth,Resting,8030010.0,303469.0,0.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0 days 00:00:00.000000000,0.0,2009.0,9.0
7488,csl0909180750,2009-09-18 07:50:00,0.0,CSL,Pete Laver,Moving,8030162.0,303615.0,0.0,at old Sava's,,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,1 days 00:00:00.000000000,23.0,2009.0,9.0
7489,csl0909180905,2009-09-18 09:05:00,0.0,CSL,Trainee CSL youth,Moving,8030035.0,303424.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0 days 00:00:00.000000000,-22.0,2009.0,9.0
7490,csl0909180906,2009-09-18 09:05:00,0.0,CSL,Trainee CSL youth,Moving,8030030.0,303460.0,0.0,,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,0 days 00:00:00.000000000,6.0,2009.0,9.0
