,ObservationID,ObservationTime,ObservationTimeApproximate,Troop,Observer,ObservationType,UTMNorthing,UTMEasting,LocationApproximate,LocationDescription,Notes,ST,STUncertain,SM,SMUncertain,SF,SFUncertain,SU,SUUncertain,SA,SAUncertain,SAM,SAMUncertain,SAF,SAFUncertain,SAFP,SAFPUncertain,SAFL,SAFLUncertain,SAFEN,SAFENUncertain,SAU,SAUUncertain,SS,SSUncertain,SSM,SSMUncertain,SSF,SSFUncertain,SSU,SSUUncertain,SJ,SJUncertain,SJM,SJMUncertain,SJF,SJFUncertain,SJU,SJUUncertain,IT,ITUncertain,IM,IMUncertain,IF,IFUncertain,IU,IUUncertain,IA,IAUncertain,IAM,IAMUncertain,IAF,IAFUncertain,IAFP,IAFPUncertain,IAFL,IAFLUncertain,IAFEN,IAFENUncertain,IAU,IAUUncertain,IS,ISUncertain,ISM,ISMUncertain,ISF,ISFUncertain,ISU,ISUUncertain,IJ,IJUncertain,IJM,IJMUncertain,IJF,IJFUncertain,IJU,IJUUncertain,T,A,S,J,TimeSinceLast,TDiff,ObsYear,ObsMonth
62,mow0805221640,2008-05-22 16:40:00,0.0,MOW,Pete Laver,Foraging,8032816.0,305502.0,0.0,mowana gate,note number of juveniles now.,9.0,,,,,,,,3.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,4.0,2.0,1 days 00:00:00.000000000,-1.0,2008.0,5.0
65,mow0805230801,2008-05-23 08:01:00,0.0,MOW,Pete Laver,Forage/Rest,8032849.0,305559.0,0.0,at big mowana at gate,Beige collar is looking after the two juveniles.,8.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,2.0,0.0,,,,,,,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,4.0,2.0,1 days 00:00:00.000000000,0.0,2008.0,5.0
69,mow0805250910,2008-05-25 09:10:00,0.0,MOW,Mpho Ramotadima,Foraging,8032918.0,304944.0,0.0,near the fuel point,,8.0,0.0,,,,,,,6.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,2.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,,2.0,2 days 00:00:00.000000000,0.0,2008.0,5.0
71,cgl0805260805,2008-05-26 08:05:00,0.0,CGL,Mpho Ramotadima,Foraging,8026209.0,296172.0,0.0,,,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,5 days 00:00:00.000000000,-15.0,2008.0,5.0
73,mow0805261122,2008-05-26 11:22:00,0.0,MOW,Pete Laver,Foraging,8032956.0,304874.0,0.0,Gogo's nursery,,7.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,2.0,0.0,,,,,,,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,3.0,2.0,1 days 00:00:00.000000000,-1.0,2008.0,5.0
85,csl0805261600,2008-05-26 16:00:00,0.0,CSL,Mpho Ramotadima,Foraging,8031472.0,304204.0,0.0,near Spar dump bins,,8.0,0.0,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,6 days 00:00:00.000000000,-17.0,2008.0,5.0
86,trs0805261640,2008-05-26 16:40:00,0.0,TRS,Mpho Ramotadima,Forage/Rest,8032585.0,307293.0,0.0,,hiding in the bush.,11.0,0.0,,,,,,,7.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,7.0,4.0,,7 days 00:00:00.000000000,-4.0,2008.0,5.0
91,mow0805270730,2008-05-27 07:30:00,0.0,MOW,Pete Laver,Denning,8032943.0,304881.0,0.0,trash site - denned under logs,,8.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,2.0,0.0,,,,,,,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,4.0,2.0,1 days 00:00:00.000000000,1.0,2008.0,5.0
94,mow0805280705,2008-05-28 07:05:00,0.0,MOW,Pete Laver,Denning,8032943.0,304881.0,0.0,logs at trash site,,7.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,3.0,2.0,1 days 00:00:00.000000000,-2.0,2008.0,5.0
95,trs0805280750,2008-05-28 07:50:00,0.0,TRS,Pete Laver,Sunning,8032559.0,307304.0,0.0,,,12.0,0.0,,,,,,,10.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,10.0,2.0,,2 days 00:00:00.000000000,1.0,2008.0,5.0
96,cch0805280802,2008-05-28 08:02:00,0.0,CCH,Mpho Ramotadima,Foraging,8027835.0,302520.0,0.0,,,37.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,8 days 00:00:00.000000000,30.0,2008.0,5.0
101,mow0805281542,2008-05-28 15:42:00,0.0,MOW,Pete Laver,Foraging,8033054.0,305112.0,0.0,termite mound next to Into Africa houses,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,0 days 00:00:00.000000000,0.0,2008.0,5.0
103,mow0805281643,2008-05-28 16:43:00,0.0,MOW,Pete Laver,Foraging,8032932.0,305018.0,0.0,,on road from Into Africa; headed towards lodge.  Ran along road past me (half); others reluctant and ran around me through grass.,8.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,4.0,2.0,0 days 00:00:00.000000000,1.0,2008.0,5.0
105,csl0805281730,2008-05-28 17:30:00,0.0,CSL,Pete Laver,Foraging,8031119.0,303976.0,0.0,,,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,2 days 00:00:00.000000000,15.0,2008.0,5.0
111,mow0805290827,2008-05-29 08:27:00,0.0,MOW,Pete Laver,Foraging,8032932.0,304890.0,0.0,,,8.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,4.0,2.0,1 days 00:00:00.000000000,0.0,2008.0,5.0
112,trs0805291505,2008-05-29 15:05:00,0.0,TRS,Pete Laver,Resting,8032578.0,307340.0,0.0,,4 adults lazing about in the sand - group pile on (4 inds). Other individuals may be in midday den.,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,1 days 00:00:00.000000000,1.0,2008.0,5.0
114,mow0805291547,2008-05-29 15:47:00,0.0,MOW,Pete Laver,Resting,8032952.0,304910.0,0.0,,,4.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,3.0,,0 days 00:00:00.000000000,-4.0,2008.0,5.0
117,cch0805300730,2008-05-30 07:30:00,0.0,CCH,Pete Laver,Denning,8027951.0,302571.0,0.0,1st cottage to west of lodge,,34.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,2 days 00:00:00.000000000,-3.0,2008.0,5.0
